wavelength,MAS1,MAS2,MAS3,MAS4,MAS5,MAS6,MAS7,MAS8,MAS9,MAS10
630.00,0.0000,0.9752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
632.50,0.0000,1.2209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
635.00,0.0000,1.4459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
637.50,0.0000,1.6307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
640.00,0.0000,1.7482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
642.50,0.0000,1.8092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
645.00,0.0000,1.8370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
647.50,0.0000,1.8465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
650.00,0.0000,1.8527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
652.50,0.0000,1.8574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
655.00,0.0000,1.8627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
657.50,0.0000,1.8703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
660.00,0.0000,1.8733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
662.50,0.0000,1.8763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
665.00,0.0000,1.8769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
667.50,0.0000,1.8731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
670.00,0.0000,1.8599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
672.50,0.0000,1.8221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
675.00,0.0000,1.7208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
677.50,0.0000,1.5341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
680.00,0.0000,1.2689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
682.50,0.0000,0.9810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
685.00,0.0000,0.6911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
687.50,0.0000,0.4250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
690.00,0.0000,0.2204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
692.50,0.0000,0.0947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
695.00,0.0000,0.0447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
697.50,0.0000,0.0253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
700.00,0.0000,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
702.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
705.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
707.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
710.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
712.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
715.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
717.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
720.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
722.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
725.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
727.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
730.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
732.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
735.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
737.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
740.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
742.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
745.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
747.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
750.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
752.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
755.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
757.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
760.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
762.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
765.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
767.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
770.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
772.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
775.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
777.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
780.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
782.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
785.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
787.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
790.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
792.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
795.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
797.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
802.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
805.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
807.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
810.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
812.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
815.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
817.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
820.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
822.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
825.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
827.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
830.00,0.0000,0.0000,0.0273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
832.50,0.0000,0.0000,0.0357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
835.00,0.0000,0.0000,0.0560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
837.50,0.0000,0.0000,0.1265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
840.00,0.0000,0.0000,0.3269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
842.50,0.0000,0.0000,0.6239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
845.00,0.0000,0.0000,0.9777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
847.50,0.0000,0.0000,1.3481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
850.00,0.0000,0.0000,1.7037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
852.50,0.0000,0.0000,2.0081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
855.00,0.0000,0.0000,2.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
857.50,0.0000,0.0000,2.2765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
860.00,0.0000,0.0000,2.3178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
862.50,0.0000,0.0000,2.3474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
865.00,0.0000,0.0000,2.3777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
867.50,0.0000,0.0000,2.4053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
870.00,0.0000,0.0000,2.4286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
872.50,0.0000,0.0000,2.4487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
875.00,0.0000,0.0000,2.4604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
877.50,0.0000,0.0000,2.4324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
880.00,0.0000,0.0000,2.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
882.50,0.0000,0.0000,1.9695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
885.00,0.0000,0.0000,1.6105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
887.50,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
890.00,0.0000,0.0000,0.8289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
892.50,0.0000,0.0000,0.4724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
895.00,0.0000,0.0000,0.2484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
897.50,0.0000,0.0000,0.1443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
900.00,0.0000,0.0000,0.0998,0.0242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
902.50,0.0000,0.0000,0.0726,0.0276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
905.00,0.0000,0.0000,0.0546,0.0364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
907.50,0.0000,0.0000,0.0421,0.0505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
910.00,0.0000,0.0000,0.0333,0.0717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
912.50,0.0000,0.0000,0.0270,0.1058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
915.00,0.0000,0.0000,0.0000,0.1841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
917.50,0.0000,0.0000,0.0000,0.3889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
920.00,0.0000,0.0000,0.0000,0.7570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
922.50,0.0000,0.0000,0.0000,1.1872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
925.00,0.0000,0.0000,0.0000,1.6245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
927.50,0.0000,0.0000,0.0000,1.9511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
930.00,0.0000,0.0000,0.0000,2.0986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
932.50,0.0000,0.0000,0.0000,2.1652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
935.00,0.0000,0.0000,0.0000,2.2058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
937.50,0.0000,0.0000,0.0000,2.2430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
940.00,0.0000,0.0000,0.0000,2.2471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
942.50,0.0000,0.0000,0.0000,2.2299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
945.00,0.0000,0.0000,0.0000,2.2190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
947.50,0.0000,0.0000,0.0000,2.2052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
950.00,0.0000,0.0000,0.0000,2.1875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
952.50,0.0000,0.0000,0.0000,2.1519,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
955.00,0.0000,0.0000,0.0000,2.0989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
957.50,0.0000,0.0000,0.0000,2.0314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
960.00,0.0000,0.0000,0.0000,1.9292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
962.50,0.0000,0.0000,0.0000,1.7185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
965.00,0.0000,0.0000,0.0000,1.3603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
967.50,0.0000,0.0000,0.0000,0.9476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
970.00,0.0000,0.0000,0.0000,0.5555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
972.50,0.0000,0.0000,0.0000,0.2803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
975.00,0.0000,0.0000,0.0000,0.1608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
977.50,0.0000,0.0000,0.0000,0.1090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
980.00,0.0000,0.0000,0.0000,0.0926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
982.50,0.0000,0.0000,0.0000,0.0830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
985.00,0.0000,0.0000,0.0000,0.0720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
987.50,0.0000,0.0000,0.0000,0.0590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
990.00,0.0000,0.0000,0.0000,0.0476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
992.50,0.0000,0.0000,0.0000,0.0377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
995.00,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
997.50,0.0000,0.0000,0.0000,0.0245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1000.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1002.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1005.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1007.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1010.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1012.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1015.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1017.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1020.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1022.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1025.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1027.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1030.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1032.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1035.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1037.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1040.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1042.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1045.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1047.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1050.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1052.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1055.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1057.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1060.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1062.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1065.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1067.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1070.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1072.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1075.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1077.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1080.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1082.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1085.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1087.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1090.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
